,file,map_,date,round,tick,seconds,att_team,vic_team,att_side,vic_side,hp_dmg,arm_dmg,is_bomb_planted,bomb_site,hitbox,wp,wp_type,award,winner_team,winner_side,att_id,att_rank,vic_id,vic_rank,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y,round_type,ct_eq_val,t_eq_val,avg_match_rank
1150,003233289942792667226_1563990910.dem,de_inferno,09/20/2017 10:36:10 AM,30,188544,2946.526,Team 2,Team 1,CounterTerrorist,Terrorist,13,3,FALSE,,Chest,MP7,SMG,600,Team 2,CounterTerrorist,7.66E+16,9,7.66E+16,10,2486.769,938.3036,1530.343,1202.383,FORCE_BUY,14450,24700,9
1151,003233289942792667226_1563990910.dem,de_inferno,09/20/2017 10:36:10 AM,30,188548,2946.589,Team 1,Team 2,Terrorist,CounterTerrorist,75,15,FALSE,,Head,AK47,Rifle,300,Team 2,CounterTerrorist,7.66E+16,10,7.66E+16,9,1530.04,1201.373,2486.133,938.2012,FORCE_BUY,14450,24700,9
1152,003233289942792667226_1563990910.dem,de_inferno,09/20/2017 10:36:10 AM,30,189014,2953.871,Team 2,Team 1,CounterTerrorist,Terrorist,14,4,FALSE,,RightArm,MP9,SMG,600,Team 2,CounterTerrorist,7.66E+16,10,7.66E+16,10,2152.325,507.421,2239.776,740.8339,FORCE_BUY,14450,24700,9
1153,003233289942792667226_1563990910.dem,de_inferno,09/20/2017 10:36:10 AM,30,189016,2953.903,Team 2,Team 1,CounterTerrorist,Terrorist,14,4,FALSE,,Chest,MP9,SMG,600,Team 2,CounterTerrorist,7.66E+16,10,7.66E+16,10,2157.145,513.4171,2240.266,740.1876,FORCE_BUY,14450,24700,9
1154,003233289942792667226_1563990910.dem,de_inferno,09/20/2017 10:36:10 AM,30,189022,2953.997,Team 2,Team 1,CounterTerrorist,Terrorist,14,4,FALSE,,Chest,MP9,SMG,600,Team 2,CounterTerrorist,7.66E+16,10,7.66E+16,10,2170.24,519.6479,2241.619,739.1495,FORCE_BUY,14450,24700,9
1155,003233289942792667226_1563990910.dem,de_inferno,09/20/2017 10:36:10 AM,30,189034,2954.184,Team 2,Team 1,CounterTerrorist,Terrorist,14,4,FALSE,,RightArm,MP9,SMG,600,Team 2,CounterTerrorist,7.66E+16,10,7.66E+16,10,2166.216,528.2355,2244.401,737.8433,FORCE_BUY,14450,24700,9
1156,003233289942792667226_1563990910.dem,de_inferno,09/20/2017 10:36:10 AM,30,189040,2954.278,Team 2,Team 1,CounterTerrorist,Terrorist,18,6,FALSE,,Stomach,MP9,SMG,600,Team 2,CounterTerrorist,7.66E+16,10,7.66E+16,10,2153.341,526.8765,2245.803,737.207,FORCE_BUY,14450,24700,9
1157,003233289942792667226_1563990910.dem,de_inferno,09/20/2017 10:36:10 AM,30,189062,2954.622,Team 1,Team 2,Terrorist,CounterTerrorist,27,4,FALSE,,Chest,AK47,Rifle,300,Team 2,CounterTerrorist,7.66E+16,10,7.66E+16,10,2252.345,734.9468,2083.375,506.2318,FORCE_BUY,14450,24700,9
1158,003233289942792667226_1563990910.dem,de_inferno,09/20/2017 10:36:10 AM,30,189068,2954.715,Team 1,Team 2,Terrorist,CounterTerrorist,27,4,FALSE,,Chest,AK47,Rifle,300,Team 2,CounterTerrorist,7.66E+16,10,7.66E+16,10,2254.491,733.5816,2073.91,504.6202,FORCE_BUY,14450,24700,9
1159,003233289942792667226_1563990910.dem,de_inferno,09/20/2017 10:36:10 AM,30,189070,2954.747,Team 2,Team 1,CounterTerrorist,Terrorist,13,19,FALSE,,Head,MP9,SMG,600,Team 2,CounterTerrorist,7.66E+16,10,7.66E+16,10,2071.778,505.1527,2255.228,733.0555,FORCE_BUY,14450,24700,9
